,as_of_date,variable,c_value,i_value,f_value,e_value,v_value
403,2020-09-09,social,0.0009088155104514129,,0.3700343787554306,,
404,2020-09-10,social,-0.005296610169491439,,0.36974784137061145,,
405,2020-09-11,social,-0.006389776357827502,,0.3690028441700817,,
406,2020-09-14,social,-0.0038278977185729596,,0.36143825721085654,,
407,2020-09-15,social,-0.006762988011066672,,0.3608078749642545,,
408,2020-09-16,social,-0.0006190034045188216,,0.3608651824412183,,
409,2020-09-17,social,0.009290802105915276,,0.360635952533363,,
410,2020-09-18,social,-0.03620742559067208,,0.36017749271765237,,
411,2020-09-21,social,0.032314549506526485,,0.3598336478558694,,
412,2020-09-22,social,-0.007710100231303007,,0.35943249551712264,,
413,2020-09-23,social,-0.00979020979020972,,0.3590313431783758,,
414,2020-09-24,social,-0.019774011299435,,0.35868749831659286,,
415,2020-09-25,social,0.028978546269612476,,0.3581144235469546,,
416,2020-09-28,social,-0.029562782013381028,,0.3531286730511016,,
417,2020-09-29,social,-0.00048100048100038534,,0.35020599172594646,,
418,2020-09-30,social,0.002406159769008639,,0.3490025347097061,,
419,2020-10-01,social,0.008641382621219381,93.8,0.350034069295055,,1.4
420,2020-10-02,social,0.004759638267491625,,0.35009137677201885,,
421,2020-10-05,social,0.010579504184430787,,0.3565098141919674,,
422,2020-10-06,social,0.003593750000000062,,0.35628058428411213,,
423,2020-10-07,social,-0.0038922621827807424,,0.3562232768071483,,
424,2020-10-08,social,-0.010159424820256308,,0.3567963515767866,,
425,2020-10-09,social,-0.05842412758566234,,0.3566817366228589,,
426,2020-10-12,social,0.025155123260103975,,0.3566244291458951,,
427,2020-10-13,social,-0.008670047439882237,,0.35633789176107594,,
428,2020-10-14,social,-0.0019801980198020552,,0.3562232768071483,,
429,2020-10-15,social,-0.004794973544973531,,0.35616596933018446,,
430,2020-10-16,social,0.05515866422993854,,0.3557075095144739,,
431,2020-10-19,social,-0.05621162021728862,,0.357312118869461,,
